	HAVE_CRYPTO	HAVE_HASH	HAVE_REPLICATION	HAVE_VERIFY	HAVE_SEQUENCE	HAVE_STATISTICS	DIAGNOSTIC	PAGESIZE	PS1K	PS4K	PS8K	PS16K	PS32K	CACHESIZE	CS32MB	CS16MB	CS64MB	CS512MB	measured_value
96	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0,772978358974359
97	0	1	1	1	0	1	1	1	0	0	1	0	0	1	0	0	0	1	0,749788868421053
98	1	1	1	1	0	0	1	1	0	0	1	0	0	1	0	0	0	1	10,928371025641
99	1	1	1	1	0	1	1	1	0	0	1	0	0	1	0	0	0	1	10,890371025641
100	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0,483833179487179
101	1	0	0	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	3,23745146153846
102	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	10,7314993947368
103	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0,750755282051282
104	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	10,9220752051282
105	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0,496748102564103
106	0	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0,752121973684211
107	1	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	10,7334816666667
108	1	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	10,9093486578947
109	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0,502955743589743
110	1	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	10,7319317948718
111	0	0	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0,497178358974359
112	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0,366015631578947
113	1	1	0	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	2,02370268421053
114	1	0	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	10,7331582051282
115	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0,764017333333333
116	0	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0,748330868421053
117	1	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	10,9013821081081
118	1	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	10,917801425
119	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0,508836512820513
120	1	0	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	1	10,7223165128205
121	0	1	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0,779261736842105
122	1	1	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	1	10,924860972973
123	0	0	0	1	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0,51504282051282
124	1	0	0	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	3,28335443589744
125	0	1	0	1	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0,773130256410256
126	1	0	0	1	1	0	1	1	0	0	1	0	0	1	0	0	0	1	10,7131234615385
127	1	1	0	1	1	0	1	1	0	0	1	0	0	1	0	0	0	1	10,9348547179487
128	0	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0,512857421052632
129	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	0	1	10,7335255384615
130	0	0	1	1	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0,518937526315789
131	1	0	1	1	1	0	1	1	0	0	1	0	0	1	0	0	0	1	10,7103387027027
132	0	1	1	0	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0,782204051282051
133	0	1	1	1	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0,776812256410256
134	1	1	1	0	1	0	1	1	0	0	1	0	0	1	0	0	0	1	10,9380917948718
135	1	1	0	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	2,08628448717949
136	1	1	1	1	1	0	1	1	0	0	1	0	0	1	0	0	0	1	10,9039715
137	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	1	0,498174769230769
138	1	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	1	10,7372117692308
139	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	1	0,741715184210526
140	1	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	1	10,8987056052632
141	0	0	1	0	1	1	0	1	0	0	1	0	0	1	0	0	0	1	0,500193657894737
142	0	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0	0	1	0,751243435897436
143	1	0	1	0	1	1	0	1	0	0	1	0	0	1	0	0	0	1	10,737751948718
144	1	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0	0	1	10,9309046666667
145	0	0	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	1	0,512931205128205
146	0	0	1	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0,527278368421053
147	1	0	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	1	10,7366211794872
148	0	0	1	0	1	1	1	1	0	0	1	0	0	1	0	0	0	1	0,518000051282052
149	1	0	1	0	1	1	1	1	0	0	1	0	0	1	0	0	0	1	10,7373837948718
150	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	1	0,75369317948718
151	0	1	1	0	1	1	1	1	0	0	1	0	0	1	0	0	0	1	0,759619736842105
152	1	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	1	10,9176541282051
153	1	1	1	0	1	1	1	1	0	0	1	0	0	1	0	0	0	1	10,9228429459459
154	0	0	0	1	1	1	0	1	0	0	1	0	0	1	0	0	0	1	0,501553641025641
155	1	0	0	1	1	1	0	1	0	0	1	0	0	1	0	0	0	1	10,7346753076923
156	0	1	0	1	1	1	0	1	0	0	1	0	0	1	0	0	0	1	0,746494135135135
157	0	0	1	1	1	0	1	1	1	0	0	0	0	1	1	0	0	0	0,579977897435898
158	1	1	0	1	1	1	0	1	0	0	1	0	0	1	0	0	0	1	10,9040807435897
159	0	0	0	1	1	1	1	1	0	0	1	0	0	1	0	0	0	1	0,520934615384616
160	0	1	0	1	1	1	1	1	0	0	1	0	0	1	0	0	0	1	0,75767641025641
161	1	0	0	1	1	1	1	1	0	0	1	0	0	1	0	0	0	1	10,7135706153846
162	1	1	0	1	1	1	1	1	0	0	1	0	0	1	0	0	0	1	10,9232195641026
163	0	0	1	1	1	1	0	1	0	0	1	0	0	1	0	0	0	1	0,493411846153846
164	1	0	1	1	1	1	0	1	0	0	1	0	0	1	0	0	0	1	10,7213274615385
165	0	0	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	1	0,521399384615385
166	1	0	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	1	10,729516
167	0	1	1	1	1	1	0	1	0	0	1	0	0	1	0	0	0	1	0,749623897435897
168	1	0	1	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	3,23279905128205
169	0	1	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	1	0,753422184210526
170	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	0	0	1	10,911433
171	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	1	10,9074773947368
172	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0,482040052631579
173	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	10,7529484473684
174	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0,749533179487179
175	1	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	10,9172199487179
176	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0,499727368421052
177	0	1	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0,752133743589744
178	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	10,7495611794872
179	1	0	1	1	1	0	1	1	1	0	0	0	0	1	1	0	0	0	3,27102728205128
180	1	1	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	10,9168708378378
181	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0,513024263157895
182	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	10,7221867948718
183	0	0	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0,498736763157895
184	1	0	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	10,7393972820513
185	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0,754040923076923
186	0	1	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0,752175923076923
187	1	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	10,8960904871795
188	1	1	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	10,9025615641026
189	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0,501874769230769
190	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0,521600342105263
191	1	0	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	10,7251883846154
192	0	1	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0,732406631578947
193	1	1	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	10,8896856153846
194	0	0	0	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0,498927923076923
195	0	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0,742831666666667
196	1	0	0	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	10,7410433076923
197	1	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	10,8977321794872
198	0	0	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0,506829256410256
199	1	0	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	10,7304819230769
200	0	0	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0,496938820512821
201	1	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	3,21245651282051
202	1	0	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	10,7188976315789
203	0	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0,747610717948718
204	0	1	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0,747630842105263
205	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	10,922635575
206	1	1	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	10,9066077105263
207	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0,485087263157895
208	1	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	10,7431062307692
209	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0,750367102564102
210	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	10,9192870769231
211	0	0	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0,497007631578947
212	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0,583330769230769
213	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0,753075641025641
214	1	0	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	10,7300759230769
215	1	1	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	10,9130264615385
216	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	0	0	0	0,500549871794872
217	1	0	0	0	1	1	0	1	0	0	1	0	0	1	1	0	0	0	10,7357688461538
218	0	0	1	0	1	1	0	1	0	0	1	0	0	1	1	0	0	0	0,501923923076923
219	1	0	1	0	1	1	0	1	0	0	1	0	0	1	1	0	0	0	10,7344992051282
220	0	1	0	0	1	1	0	1	0	0	1	0	0	1	1	0	0	0	0,74442558974359
221	0	1	1	0	1	1	0	1	0	0	1	0	0	1	1	0	0	0	0,748962717948718
222	1	1	0	0	1	1	0	1	0	0	1	0	0	1	1	0	0	0	10,898161974359
223	0	1	1	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0,390812230769231
224	1	0	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	3,28526623076923
225	1	1	1	0	1	1	0	1	0	0	1	0	0	1	1	0	0	0	10,9338856153846
226	0	0	0	1	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0,505856435897436
227	1	0	0	1	1	0	0	1	0	0	1	0	0	1	1	0	0	0	10,7322295641026
228	0	1	0	1	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0,760084871794872
229	1	1	0	1	1	0	0	1	0	0	1	0	0	1	1	0	0	0	10,8993860263158
230	0	0	0	1	1	1	0	1	0	0	1	0	0	1	1	0	0	0	0,503539666666667
231	0	1	0	1	1	1	0	1	0	0	1	0	0	1	1	0	0	0	0,745916
232	1	0	0	1	1	1	0	1	0	0	1	0	0	1	1	0	0	0	10,7305295384615
233	1	1	0	1	1	1	0	1	0	0	1	0	0	1	1	0	0	0	10,9035487179487
234	0	0	1	1	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0,498735394736842
235	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0,362926205128205
236	1	0	1	1	1	0	0	1	0	0	1	0	0	1	1	0	0	0	10,7313448205128
237	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	0	0	0	0,494166076923077
238	1	0	1	1	1	1	0	1	0	0	1	0	0	1	1	0	0	0	10,7214467692308
239	0	1	1	1	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0,749269076923077
240	0	1	1	1	1	1	0	1	0	0	1	0	0	1	1	0	0	0	0,751130743589744
241	1	1	1	1	1	0	0	1	0	0	1	0	0	1	1	0	0	0	10,9182551621622
242	1	1	1	1	1	1	0	1	0	0	1	0	0	1	1	0	0	0	10,9184204871795
243	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0,506797
244	1	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	10,7330248717949
245	0	1	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0,773078230769231
246	0	1	1	1	1	0	1	1	1	0	0	0	0	1	1	0	0	0	0,385507128205128
247	1	1	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	10,937584974359
248	0	0	1	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0,510030538461538
249	0	1	1	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0,774185282051282
250	1	0	1	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	10,7338392307692
251	1	1	1	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	10,9107893513514
252	0	0	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0,520637447368421
253	1	0	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	10,7237240769231
254	0	0	1	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0,515265184210526
255	1	0	1	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	10,7266265263158
256	0	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0,77495917948718
257	0	1	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0,373442538461538
258	0	1	1	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0,776731538461538
259	1	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	10,9580576
260	1	1	1	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	10,9368079230769
261	0	0	0	0	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0,506535789473684
262	1	0	0	0	1	0	1	1	0	0	1	0	0	1	1	0	0	0	10,7130727948718
263	0	1	0	0	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0,776654432432432
264	1	1	0	0	1	0	1	1	0	0	1	0	0	1	1	0	0	0	10,9230791351351
265	0	0	0	1	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0,514011078947368
266	0	1	0	1	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0,773951736842105
267	1	0	0	1	1	0	1	1	0	0	1	0	0	1	1	0	0	0	10,718135974359
268	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0,40187802631579
269	1	1	0	1	1	0	1	1	0	0	1	0	0	1	1	0	0	0	10,9373071666667
270	0	0	1	0	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0,512260358974359
271	1	0	1	0	1	0	1	1	0	0	1	0	0	1	1	0	0	0	10,7322793589744
272	0	0	1	1	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0,519947307692308
273	1	0	1	1	1	0	1	1	0	0	1	0	0	1	1	0	0	0	10,7133153076923
274	0	1	1	0	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0,782150717948718
275	0	1	1	1	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0,776519846153846
276	1	1	1	0	1	0	1	1	0	0	1	0	0	1	1	0	0	0	10,9379863333333
277	1	1	1	1	1	0	1	1	0	0	1	0	0	1	1	0	0	0	10,9088716756757
278	0	0	0	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0,511390282051282
279	1	1	1	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	2,03072558974359
280	1	0	0	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	10,7003192564103
281	0	1	0	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0,752171358974359
282	1	1	0	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	10,89621785
283	0	0	1	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0,518244974358974
284	0	1	1	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0,765242384615385
285	1	0	1	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	10,7065270263158
286	1	1	1	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	10,9114745384615
287	0	0	0	0	1	1	1	1	0	0	1	0	0	1	1	0	0	0	0,513113641025641
288	1	0	0	0	1	1	1	1	0	0	1	0	0	1	1	0	0	0	10,7357454871795
289	0	0	1	0	1	1	1	1	0	0	1	0	0	1	1	0	0	0	0,516918846153846
290	1	1	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	2,0416451025641
291	1	0	1	0	1	1	1	1	0	0	1	0	0	1	1	0	0	0	10,7325071538462
292	0	1	0	0	1	1	1	1	0	0	1	0	0	1	1	0	0	0	0,751894184210526
293	0	1	1	0	1	1	1	1	0	0	1	0	0	1	1	0	0	0	0,754568615384615
294	1	1	0	0	1	1	1	1	0	0	1	0	0	1	1	0	0	0	10,9123707692308
295	1	1	1	0	1	1	1	1	0	0	1	0	0	1	1	0	0	0	10,9198045128205
296	0	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0,520639947368421
297	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	0	0	10,6980868974359
