	no_asm	no_8x8dct	no_cabac	no_deblock	no_fast_pskip	no_mbtree	no_mixed_refs	no_weightb	rc_lookahead	rc_lookahead_20	rc_lookahead_40	rc_lookahead_60	ref	ref_1	ref_5	ref_9	measured_value
42	1	0	1	0	0	1	1	0	1	0	1	0	1	0	0	1	643.97
43	1	0	0	0	0	1	0	1	1	0	1	0	1	0	0	1	643.97
44	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	643.97
45	1	0	1	0	0	1	0	1	1	0	1	0	1	0	0	1	643.97
46	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	0	643.97
47	1	0	1	0	0	1	1	1	1	0	1	0	1	0	0	1	643.97
48	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	643.97
49	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	1	643.97
50	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	643.97
51	1	1	1	0	0	0	0	1	1	0	1	0	1	0	0	1	643.97
52	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	643.97
53	1	1	0	0	0	1	0	1	1	0	1	0	1	0	0	1	643.97
54	1	1	1	0	0	1	0	0	1	0	1	0	1	0	0	1	643.97
55	1	1	1	0	0	1	0	1	1	0	1	0	1	0	0	1	643.97
56	1	1	0	0	0	0	1	0	1	0	1	0	1	0	0	1	643.97
57	1	1	0	0	0	1	1	0	1	1	0	0	1	1	0	0	643.97
58	1	1	1	0	0	0	1	0	1	0	1	0	1	0	0	1	643.97
59	1	1	0	0	0	1	1	0	1	0	1	0	1	0	0	1	643.97
60	1	1	1	0	0	1	1	0	1	0	1	0	1	0	0	1	643.97
61	1	1	0	0	0	0	1	1	1	0	1	0	1	0	0	1	643.97
62	1	1	0	0	0	1	1	1	1	0	1	0	1	0	0	1	643.97
63	1	1	1	0	0	0	1	1	1	0	1	0	1	0	0	1	643.97
64	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	643.97
65	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	643.97
66	1	0	1	0	1	0	0	0	1	0	1	0	1	0	0	1	643.97
67	1	0	0	0	1	0	0	1	1	0	1	0	1	0	0	1	643.97
68	1	1	0	1	0	1	1	0	1	1	0	0	1	1	0	0	643.97
69	1	0	1	0	1	0	0	1	1	0	1	0	1	0	0	1	643.97
70	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	1	643.97
71	1	0	0	0	1	0	1	1	1	0	1	0	1	0	0	1	643.97
72	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	1	643.97
73	1	0	1	0	1	0	1	1	1	0	1	0	1	0	0	1	643.97
74	1	1	0	0	1	0	0	0	1	0	1	0	1	0	0	1	643.97
75	1	1	1	0	1	0	0	0	1	0	1	0	1	0	0	1	643.97
76	1	1	0	0	1	0	1	0	1	0	1	0	1	0	0	1	643.97
77	1	1	1	0	1	0	1	0	1	0	1	0	1	0	0	1	643.97
78	1	1	0	0	1	0	0	1	1	0	1	0	1	0	0	1	643.97
79	1	1	1	0	0	1	1	0	1	1	0	0	1	1	0	0	643.97
80	1	1	0	0	1	0	1	1	1	0	1	0	1	0	0	1	643.97
81	1	1	1	0	1	0	0	1	1	0	1	0	1	0	0	1	643.97
82	1	1	1	0	1	0	1	1	1	0	1	0	1	0	0	1	643.97
83	1	0	0	0	1	1	0	0	1	0	1	0	1	0	0	1	643.97
84	1	0	1	0	1	1	0	0	1	0	1	0	1	0	0	1	643.97
85	1	0	0	0	1	1	0	1	1	0	1	0	1	0	0	1	643.97
86	1	0	1	0	1	1	0	1	1	0	1	0	1	0	0	1	643.97
87	1	1	0	0	1	1	0	0	1	0	1	0	1	0	0	1	643.97
88	1	1	0	0	1	1	0	1	1	0	1	0	1	0	0	1	643.97
89	1	1	1	0	1	1	0	0	1	0	1	0	1	0	0	1	643.97
90	1	1	1	1	0	1	1	0	1	1	0	0	1	1	0	0	643.97
91	1	1	1	0	1	1	0	1	1	0	1	0	1	0	0	1	643.97
92	1	0	0	0	1	1	1	0	1	0	1	0	1	0	0	1	643.97
93	1	0	1	0	1	1	1	0	1	0	1	0	1	0	0	1	643.97
94	1	1	0	0	1	1	1	0	1	0	1	0	1	0	0	1	643.97
95	1	1	1	0	1	1	1	0	1	0	1	0	1	0	0	1	643.97
96	1	0	0	0	1	1	1	1	1	0	1	0	1	0	0	1	643.97
97	1	1	0	0	1	1	1	1	1	0	1	0	1	0	0	1	643.97
98	1	0	1	0	1	1	1	1	1	0	1	0	1	0	0	1	643.97
99	1	1	1	0	1	1	1	1	1	0	1	0	1	0	0	1	643.97
100	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	643.97
101	1	1	0	0	1	1	1	0	1	1	0	0	1	1	0	0	643.97
102	1	0	1	1	0	0	0	0	1	0	1	0	1	0	0	1	643.97
103	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	1	643.97
104	1	0	1	1	0	0	0	1	1	0	1	0	1	0	0	1	643.97
105	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	1	643.97
106	1	0	0	1	0	0	1	1	1	0	1	0	1	0	0	1	643.97
107	1	0	1	1	0	0	1	0	1	0	1	0	1	0	0	1	643.97
108	1	0	1	1	0	0	1	1	1	0	1	0	1	0	0	1	643.97
109	1	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	643.97
110	1	0	1	1	0	1	0	0	1	0	1	0	1	0	0	1	643.97
111	1	0	0	1	0	1	1	0	1	0	1	0	1	0	0	1	643.97
112	1	0	1	0	0	0	0	1	1	1	0	0	1	1	0	0	643.97
113	1	1	1	0	1	1	1	0	1	1	0	0	1	1	0	0	643.97
114	1	0	1	1	0	1	1	0	1	0	1	0	1	0	0	1	643.97
115	1	0	0	1	0	1	0	1	1	0	1	0	1	0	0	1	643.97
116	1	0	0	1	0	1	1	1	1	0	1	0	1	0	0	1	643.97
117	1	0	1	1	0	1	0	1	1	0	1	0	1	0	0	1	643.97
118	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	643.97
119	1	0	0	1	1	0	0	0	1	0	1	0	1	0	0	1	643.97
120	1	0	1	1	1	0	0	0	1	0	1	0	1	0	0	1	643.97
121	1	0	0	1	1	0	0	1	1	0	1	0	1	0	0	1	643.97
122	1	0	1	1	1	0	0	1	1	0	1	0	1	0	0	1	643.97
123	1	0	0	1	1	1	0	0	1	0	1	0	1	0	0	1	643.97
124	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	0	643.97
125	1	0	0	1	1	1	0	1	1	0	1	0	1	0	0	1	643.97
126	1	0	1	1	1	1	0	0	1	0	1	0	1	0	0	1	643.97
127	1	0	1	1	1	1	0	1	1	0	1	0	1	0	0	1	643.97
128	1	0	0	1	1	0	1	0	1	0	1	0	1	0	0	1	643.97
129	1	0	1	1	1	0	1	0	1	0	1	0	1	0	0	1	643.97
130	1	0	0	1	1	1	1	0	1	0	1	0	1	0	0	1	643.97
131	1	0	1	1	1	1	1	0	1	0	1	0	1	0	0	1	643.97
132	1	0	0	1	1	0	1	1	1	0	1	0	1	0	0	1	643.97
133	1	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	643.97
134	1	0	1	1	1	0	1	1	1	0	1	0	1	0	0	1	643.97
135	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	643.97
136	1	0	1	1	1	1	1	1	1	0	1	0	1	0	0	1	643.97
137	1	1	0	1	0	0	0	0	1	0	1	0	1	0	0	1	643.97
138	1	1	1	1	0	0	0	0	1	0	1	0	1	0	0	1	643.97
139	1	1	0	1	0	0	0	1	1	0	1	0	1	0	0	1	643.97
140	1	1	1	1	0	0	0	1	1	0	1	0	1	0	0	1	643.97
141	1	1	0	1	0	0	1	0	1	0	1	0	1	0	0	1	643.97
142	1	1	0	1	0	0	1	1	1	0	1	0	1	0	0	1	643.97
143	1	1	1	1	0	0	1	0	1	0	1	0	1	0	0	1	643.97
144	1	1	1	1	0	0	1	1	1	0	1	0	1	0	0	1	643.97
145	1	1	0	1	1	0	0	0	1	0	1	0	1	0	0	1	643.97
146	1	1	0	0	0	0	1	1	1	1	0	0	1	1	0	0	643.97
147	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	643.97
148	1	1	0	1	1	0	1	0	1	0	1	0	1	0	0	1	643.97
149	1	1	1	1	1	0	1	0	1	0	1	0	1	0	0	1	643.97
150	1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	1	643.97
151	1	1	0	1	1	0	1	1	1	0	1	0	1	0	0	1	643.97
152	1	1	1	1	1	0	0	1	1	0	1	0	1	0	0	1	643.97
153	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	643.97
154	1	1	0	1	0	1	0	0	1	0	1	0	1	0	0	1	643.97
155	1	1	1	1	0	1	0	0	1	0	1	0	1	0	0	1	643.97
156	1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	1	643.97
157	1	1	0	1	0	0	1	1	1	1	0	0	1	1	0	0	643.97
158	1	1	1	1	0	1	0	1	1	0	1	0	1	0	0	1	643.97
159	1	1	0	1	1	1	0	0	1	0	1	0	1	0	0	1	643.97
160	1	1	0	1	1	1	0	1	1	0	1	0	1	0	0	1	643.97
161	1	1	1	1	1	1	0	0	1	0	1	0	1	0	0	1	643.97
162	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	1	643.97
163	1	1	0	1	0	1	1	0	1	0	1	0	1	0	0	1	643.97
164	1	1	1	1	0	1	1	0	1	0	1	0	1	0	0	1	643.97
165	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	643.97
166	1	1	1	1	1	1	1	0	1	0	1	0	1	0	0	1	643.97
167	1	1	0	1	0	1	1	1	1	0	1	0	1	0	0	1	643.97
168	1	1	0	0	1	0	1	1	1	1	0	0	1	1	0	0	643.97
169	1	1	0	1	1	1	1	1	1	0	1	0	1	0	0	1	643.97
170	1	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	643.97
171	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	643.97
172	1	1	0	1	1	0	1	1	1	1	0	0	1	1	0	0	643.97
173	1	1	0	0	0	1	1	1	1	1	0	0	1	1	0	0	643.97
174	1	1	0	0	1	1	1	1	1	1	0	0	1	1	0	0	643.97
175	1	1	0	1	0	1	1	1	1	1	0	0	1	1	0	0	643.97
176	1	0	1	1	0	0	0	1	1	1	0	0	1	1	0	0	643.97
177	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	0	643.97
178	1	1	1	0	0	0	1	1	1	1	0	0	1	1	0	0	643.97
179	1	1	1	1	0	0	1	1	1	1	0	0	1	1	0	0	643.97
180	1	1	1	0	0	1	1	1	1	1	0	0	1	1	0	0	643.97
181	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	0	643.97
182	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	643.97
183	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	0	643.97
184	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	643.97
185	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	643.97
186	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	643.97
187	1	0	0	0	1	0	0	1	1	1	0	0	1	1	0	0	643.97
188	1	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	643.97
189	1	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	643.97
190	1	0	0	1	1	0	0	0	1	0	1	0	1	1	0	0	643.97
191	1	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	643.97
192	1	0	1	0	1	0	0	0	1	0	1	0	1	1	0	0	643.97
193	1	0	1	1	0	0	0	0	1	0	1	0	1	1	0	0	643.97
194	1	0	1	1	1	0	0	0	1	0	1	0	1	1	0	0	643.97
195	1	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	643.97
196	1	0	0	1	0	0	0	1	1	0	1	0	1	1	0	0	643.97
197	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	643.97
198	1	0	1	0	1	0	0	1	1	1	0	0	1	1	0	0	643.97
199	1	0	1	1	0	0	0	1	1	0	1	0	1	1	0	0	643.97
200	1	0	0	0	1	0	0	1	1	0	1	0	1	1	0	0	643.97
201	1	0	1	0	1	0	0	1	1	0	1	0	1	1	0	0	643.97
202	1	0	0	1	1	0	0	1	1	0	1	0	1	1	0	0	643.97
203	1	0	1	1	1	0	0	1	1	0	1	0	1	1	0	0	643.97
204	1	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	643.97
205	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	643.97
206	1	0	0	0	1	0	1	0	1	0	1	0	1	1	0	0	643.97
207	1	0	0	1	1	0	1	0	1	0	1	0	1	1	0	0	643.97
208	1	0	0	0	0	0	1	1	1	0	1	0	1	1	0	0	643.97
209	1	0	0	1	1	0	0	1	1	1	0	0	1	1	0	0	643.97
210	1	0	0	0	1	0	1	1	1	0	1	0	1	1	0	0	643.97
211	1	0	0	1	0	0	1	1	1	0	1	0	1	1	0	0	643.97
212	1	0	0	1	1	0	1	1	1	0	1	0	1	1	0	0	643.97
213	1	0	1	0	0	0	1	0	1	0	1	0	1	1	0	0	643.97
214	1	0	1	1	0	0	1	0	1	0	1	0	1	1	0	0	643.97
215	1	0	1	0	0	0	1	1	1	0	1	0	1	1	0	0	643.97
216	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	0	643.97
217	1	0	1	0	1	0	1	0	1	0	1	0	1	1	0	0	643.97
218	1	0	1	0	1	0	1	1	1	0	1	0	1	1	0	0	643.97
219	1	0	1	1	1	0	1	0	1	0	1	0	1	1	0	0	643.97
220	1	0	1	1	1	0	0	1	1	1	0	0	1	1	0	0	643.97
221	1	0	1	1	1	0	1	1	1	0	1	0	1	1	0	0	643.97
222	1	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	643.97
223	1	1	0	1	0	0	0	0	1	0	1	0	1	1	0	0	643.97
224	1	1	0	0	1	0	0	0	1	0	1	0	1	1	0	0	643.97
225	1	1	0	1	1	0	0	0	1	0	1	0	1	1	0	0	643.97
226	1	1	1	0	0	0	0	0	1	0	1	0	1	1	0	0	643.97
227	1	1	1	0	1	0	0	0	1	0	1	0	1	1	0	0	643.97
228	1	1	1	1	0	0	0	0	1	0	1	0	1	1	0	0	643.97
229	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	643.97
230	1	1	0	0	0	0	1	0	1	0	1	0	1	1	0	0	643.97
231	1	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	643.97
232	1	1	0	1	0	0	1	0	1	0	1	0	1	1	0	0	643.97
233	1	1	1	0	0	0	1	0	1	0	1	0	1	1	0	0	643.97
234	1	1	1	1	0	0	1	0	1	0	1	0	1	1	0	0	643.97
235	1	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	643.97
236	1	1	1	0	1	0	1	0	1	0	1	0	1	1	0	0	643.97
237	1	1	0	1	1	0	1	0	1	0	1	0	1	1	0	0	643.97
238	1	1	1	1	1	0	1	0	1	0	1	0	1	1	0	0	643.97
239	1	1	0	0	0	0	0	1	1	0	1	0	1	1	0	0	643.97
240	1	1	0	1	0	0	0	1	1	0	1	0	1	1	0	0	643.97
241	1	1	0	0	1	0	0	1	1	0	1	0	1	1	0	0	643.97
242	1	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	643.97
243	1	1	0	1	1	0	0	1	1	0	1	0	1	1	0	0	643.97
244	1	1	0	0	0	0	1	1	1	0	1	0	1	1	0	0	643.97
245	1	1	0	0	1	0	1	1	1	0	1	0	1	1	0	0	643.97
246	1	1	0	1	0	0	1	1	1	0	1	0	1	1	0	0	643.97
247	1	1	0	1	1	0	1	1	1	0	1	0	1	1	0	0	643.97
248	1	1	1	0	0	0	0	1	1	0	1	0	1	1	0	0	643.97
249	1	1	1	1	0	0	0	1	1	0	1	0	1	1	0	0	643.97
250	1	1	1	0	0	0	1	1	1	0	1	0	1	1	0	0	643.97
251	1	1	1	1	0	0	1	1	1	0	1	0	1	1	0	0	643.97
252	1	1	1	0	1	0	0	1	1	0	1	0	1	1	0	0	643.97
253	1	0	0	0	1	0	1	0	1	1	0	0	1	1	0	0	643.97
254	1	1	1	0	1	0	1	1	1	0	1	0	1	1	0	0	643.97
255	1	1	1	1	1	0	0	1	1	0	1	0	1	1	0	0	643.97
256	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0	0	643.97
257	1	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	643.97
258	1	0	0	1	0	1	0	0	1	0	1	0	1	1	0	0	643.97
259	1	0	0	0	1	1	0	0	1	0	1	0	1	1	0	0	643.97
260	1	0	0	1	1	1	0	0	1	0	1	0	1	1	0	0	643.97
261	1	0	1	0	0	1	0	0	1	0	1	0	1	1	0	0	643.97
262	1	0	1	0	1	1	0	0	1	0	1	0	1	1	0	0	643.97
263	1	0	1	1	0	1	0	0	1	0	1	0	1	1	0	0	643.97
264	1	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	643.97
265	1	0	0	1	1	0	1	0	1	1	0	0	1	1	0	0	643.97
266	1	0	1	1	1	1	0	0	1	0	1	0	1	1	0	0	643.97
267	1	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	643.97
268	1	0	0	1	0	1	0	1	1	0	1	0	1	1	0	0	643.97
269	1	0	1	0	0	1	0	1	1	0	1	0	1	1	0	0	643.97
270	1	0	1	1	0	1	0	1	1	0	1	0	1	1	0	0	643.97
271	1	0	0	0	1	1	0	1	1	0	1	0	1	1	0	0	643.97
272	1	0	1	0	1	1	0	1	1	0	1	0	1	1	0	0	643.97
273	1	0	0	1	1	1	0	1	1	0	1	0	1	1	0	0	643.97
274	1	0	1	1	1	1	0	1	1	0	1	0	1	1	0	0	643.97
275	1	1	0	0	0	1	0	0	1	0	1	0	1	1	0	0	643.97
276	1	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	643.97
277	1	1	0	1	0	1	0	0	1	0	1	0	1	1	0	0	643.97
278	1	1	0	0	1	1	0	0	1	0	1	0	1	1	0	0	643.97
279	1	1	0	1	1	1	0	0	1	0	1	0	1	1	0	0	643.97
280	1	1	0	0	0	1	0	1	1	0	1	0	1	1	0	0	643.97
281	1	1	0	0	1	1	0	1	1	0	1	0	1	1	0	0	643.97
282	1	1	0	1	0	1	0	1	1	0	1	0	1	1	0	0	643.97
283	1	1	0	1	1	1	0	1	1	0	1	0	1	1	0	0	643.97
284	1	1	1	0	0	1	0	0	1	0	1	0	1	1	0	0	643.97
285	1	1	1	1	0	1	0	0	1	0	1	0	1	1	0	0	643.97
286	1	1	1	0	0	1	0	1	1	0	1	0	1	1	0	0	643.97
287	1	0	0	0	1	0	1	1	1	1	0	0	1	1	0	0	643.97
288	1	1	1	1	0	1	0	1	1	0	1	0	1	1	0	0	643.97
289	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	643.97
290	1	1	1	0	1	1	0	1	1	0	1	0	1	1	0	0	643.97
291	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	643.97
292	1	1	1	1	1	1	0	1	1	0	1	0	1	1	0	0	643.97
293	1	0	0	0	0	1	1	0	1	0	1	0	1	1	0	0	643.97
294	1	0	0	1	0	1	1	0	1	0	1	0	1	1	0	0	643.97
295	1	0	0	0	1	1	1	0	1	0	1	0	1	1	0	0	643.97
296	1	0	0	1	1	1	1	0	1	0	1	0	1	1	0	0	643.97
297	1	0	1	0	0	1	1	0	1	0	1	0	1	1	0	0	643.97
298	1	0	0	1	0	0	1	1	1	1	0	0	1	1	0	0	643.97
299	1	0	1	0	1	1	1	0	1	0	1	0	1	1	0	0	643.97
300	1	0	1	1	0	1	1	0	1	0	1	0	1	1	0	0	643.97
301	1	0	1	1	1	1	1	0	1	0	1	0	1	1	0	0	643.97
302	1	1	0	0	0	1	1	0	1	0	1	0	1	1	0	0	643.97
303	1	1	0	1	0	1	1	0	1	0	1	0	1	1	0	0	643.97
304	1	1	1	0	0	1	1	0	1	0	1	0	1	1	0	0	643.97
305	1	1	1	1	0	1	1	0	1	0	1	0	1	1	0	0	643.97
306	1	1	0	0	1	1	1	0	1	0	1	0	1	1	0	0	643.97
307	1	1	1	0	1	1	1	0	1	0	1	0	1	1	0	0	643.97
308	1	1	0	1	1	1	1	0	1	0	1	0	1	1	0	0	643.97
309	1	0	0	1	1	0	1	1	1	1	0	0	1	1	0	0	643.97
310	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	0	643.97
311	1	0	0	0	0	1	1	1	1	0	1	0	1	1	0	0	643.97
312	1	0	0	1	0	1	1	1	1	0	1	0	1	1	0	0	643.97
313	1	0	0	0	1	1	1	1	1	0	1	0	1	1	0	0	643.97
314	1	0	0	1	1	1	1	1	1	0	1	0	1	1	0	0	643.97
315	1	1	0	0	0	1	1	1	1	0	1	0	1	1	0	0	643.97
316	1	1	0	0	1	1	1	1	1	0	1	0	1	1	0	0	643.97
317	1	1	0	1	0	1	1	1	1	0	1	0	1	1	0	0	643.97
318	1	1	0	1	1	1	1	1	1	0	1	0	1	1	0	0	643.97
319	1	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	643.97
320	1	0	1	0	0	0	1	0	1	1	0	0	1	1	0	0	643.97
321	1	0	1	1	0	1	1	1	1	0	1	0	1	1	0	0	643.97
322	1	1	1	0	0	1	1	1	1	0	1	0	1	1	0	0	643.97
323	1	1	1	1	0	1	1	1	1	0	1	0	1	1	0	0	643.97
324	1	0	1	0	1	1	1	1	1	0	1	0	1	1	0	0	643.97
325	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	0	643.97
326	1	0	1	1	1	1	1	1	1	0	1	0	1	1	0	0	643.97
327	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	643.97
328	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	643.97
329	1	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	643.97
330	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	643.97
331	1	0	1	1	0	0	1	0	1	1	0	0	1	1	0	0	643.97
332	1	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	643.97
333	1	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	643.97
334	1	0	1	0	0	0	0	1	1	0	0	1	1	1	0	0	643.97
335	1	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0	643.97
336	1	0	1	0	1	0	0	1	1	0	0	1	1	1	0	0	643.97
337	1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	643.97
338	1	0	0	0	1	0	1	0	1	0	0	1	1	1	0	0	643.97
339	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	643.97
340	1	0	0	0	1	0	1	1	1	0	0	1	1	1	0	0	643.97
341	1	0	1	0	0	0	1	0	1	0	0	1	1	1	0	0	643.97
342	1	0	1	0	0	0	1	1	1	1	0	0	1	1	0	0	643.97
343	1	0	1	0	0	0	1	1	1	0	0	1	1	1	0	0	643.97
344	1	0	1	0	1	0	1	0	1	0	0	1	1	1	0	0	643.97
345	1	0	1	0	1	0	1	1	1	0	0	1	1	1	0	0	643.97
346	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	643.97
347	1	0	0	0	1	1	0	0	1	0	0	1	1	1	0	0	643.97
348	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	643.97
349	1	0	1	0	1	1	0	0	1	0	0	1	1	1	0	0	643.97
350	1	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	643.97
351	1	0	1	0	0	1	1	0	1	0	0	1	1	1	0	0	643.97
352	1	0	0	0	1	1	1	0	1	0	0	1	1	1	0	0	643.97
353	1	0	1	1	0	0	1	1	1	1	0	0	1	1	0	0	643.97
354	1	0	1	0	1	1	1	0	1	0	0	1	1	1	0	0	643.97
355	1	0	0	0	0	1	0	1	1	0	0	1	1	1	0	0	643.97
356	1	0	0	0	1	1	0	1	1	0	0	1	1	1	0	0	643.97
357	1	0	0	0	0	1	1	1	1	0	0	1	1	1	0	0	643.97
358	1	0	0	0	1	1	1	1	1	0	0	1	1	1	0	0	643.97
359	1	0	1	0	0	1	0	1	1	0	0	1	1	1	0	0	643.97
360	1	0	1	0	0	1	1	1	1	0	0	1	1	1	0	0	643.97
361	1	0	1	0	1	1	0	1	1	0	0	1	1	1	0	0	643.97
